id,description,property_type,bedrooms,bathrooms,commercial,display_address,display_status,latitude,longitude,price,first_visible_date,url,postcode,deliveryPointId,epcGraphs
100455224,4 bedroom detached house for sale,Detached,4,,False,"Riddiford Drive, Chelmsford",Sold STC,51.74118,0.45867,750000,2020-11-26T13:53:27Z,/properties/100455224,CM1 2GB,20126515,https://media.rightmove.co.uk/15k/14258/100455224/14258_1RiddifordDrive_EPC_00_0000.pdf
78076686,4 bedroom detached house for sale,Detached,4,3,False,"Hanlee Brook, Great Baddow",Sold STC,51.713123,0.500501,745000,2021-02-19T10:41:09Z,/properties/78076686,CM2 8GB,21412603,
86164570,3 bedroom detached house for sale,Detached,3,3,False,"Patching Hall Lane, Chelmsford, Essex, CM1",Sold STC,51.75487,0.46202,735000,2020-10-27T15:45:05Z,/properties/86164570,CM1 4DB,33210628,
100452845,5 bedroom semi-detached house for sale,Semi-Detached,5,2,False,"Vicarage Road, Old Moulsham, Chelmsford, CM2",Sold STC,51.723426,0.467238,725000,2020-11-26T12:10:23Z,/properties/100452845,CM2 9BS,31116556,
78570111,4 bedroom detached house for sale,Detached,4,2,False,"Lawn Lane, Chelmsford",Sold STC,51.750626,0.486084,600000,2021-03-05T09:18:57Z,/properties/78570111,CM1 6PS,36140326,
87627835,4 bedroom detached house for sale,Detached,4,1,False,"Links Drive, Chelmsford - Fenn Wright Signature ",Sold STC,51.71901,0.45659,725000,2020-12-13T12:01:55Z,/properties/87627835,CM2 9AW,19716631,
82229932,5 bedroom detached house for sale,Detached,5,3,False,"Phoenix Grove, Chelmsford, CM2",Sold STC,51.724638,0.460616,725000,2020-07-16T12:59:56Z,/properties/82229932,CM2 9BN,21331138,
83031403,5 bedroom detached house for sale,Detached,5,3,False,"Beehive Lane, Great Baddow, Chelmsford, CM2",Sold STC,51.712696,0.479366,725000,2020-08-03T09:34:34Z,/properties/83031403,CM2 9SJ,33325318,
101911718,4 bedroom detached house for sale,Detached,4,2,False,"First Avenue, Chelmsford, Essex, CM1",Sold STC,51.746293,0.468108,725000,2021-01-12T17:49:22Z,/properties/101911718,CM1 1RU,34095565,
101911739,4 bedroom detached house for sale,Detached,4,2,False,"Gordon Road, Chelmsford, Essex, CM2",Sold STC,51.716137,0.468036,725000,2021-01-12T17:49:42Z,/properties/101911739,CM2 9LL,31822042,
72125595,4 bedroom end of terrace house for sale,End of Terrace,4,4,False,"Beaulieu Chase, Chelmsford",Sold STC,51.76246,0.49431,725000,2020-07-27T15:02:45Z,/properties/72125595,CM1 6AR,,
102604271,3 bedroom detached house for sale,Detached,3,3,False,"Bell Street, Great Baddow, Chelmsford, CM2",Sold STC,51.716535,0.501467,700000,2021-02-08T17:51:13Z,/properties/102604271,CM2 7JR,,
97482395,4 bedroom detached house for sale,Detached,4,2,False,"Church Street, Great Baddow, Chelmsford, CM2",Sold STC,51.713183,0.505568,700000,2020-09-21T09:42:07Z,/properties/97482395,CM2 7HY,26160904,
74455008,4 bedroom link detached house for sale,Link Detached House,4,2,False,"Spalding Way, Great Baddow, Chelmsford",Sold STC,51.72379,0.49885,700000,2020-10-20T15:40:03Z,/properties/74455008,CM2 7NZ,,
86225209,3 bedroom detached house for sale,Detached,3,1,False,"Galleywood Road, Great Baddow, Chelmsford, CM2",Sold STC,51.713977,0.496722,700000,2020-10-29T13:30:43Z,/properties/86225209,CM2 8DJ,31364365,
93443423,5 bedroom detached house for sale,Detached,5,4,False,"Cornelius Vale, Chancellor Park, Chelmsford, CM2",Sold STC,51.742048,0.515828,700000,2020-06-12T17:46:41Z,/properties/93443423,CM2 6YF,19426753,
89945648,4 bedroom semi-detached house for sale,Semi-Detached,4,2,False,"Oaklea Avenue, Chelmsford, CM2",Sold STC,51.739522,0.491322,700000,2020-02-28T16:48:38Z,/properties/89945648,CM2 6BY,34275925,https://media.rightmove.co.uk/152k/151070/89945648/151070_913177-1_EPC_01_0000.pdf
87026935,4 bedroom detached house for sale,Detached,4,1,False,"Richardson Place, Chelmsford, CM1",Sold STC,51.740537,0.457627,700000,2020-11-23T10:38:39Z,/properties/87026935,CM1 2GD,22739191,
94329980,4 bedroom detached house for sale,Detached,4,3,False,"The Brooklands, Southend Road, Howe Green, CM2",Sold STC,51.691976,0.525788,700000,2020-07-02T21:07:07Z,/properties/94329980,CM2 7TD,,
70806345,4 bedroom detached house for sale,Detached,4,3,False,"East Hanningfield Road, Sandon",Sold STC,51.699428,0.530541,700000,2020-05-30T11:42:45Z,/properties/70806345,CM2 7TP,29965315,
75223365,5 bedroom detached house for sale,Detached,5,3,False,"Hill Crescent, Chelmsford",Sold STC,51.73216,0.48584,700000,2020-11-12T18:14:49Z,/properties/75223365,CM2 6HT,21815980,
74134554,4 bedroom detached house for sale,Detached,4,2,False,"Broomfield Road, Chelmsford, Essex",Sold STC,51.743111,0.466888,700000,2020-10-12T10:05:10Z,/properties/74134554,CM1 1RY,31899121,
89657494,6 bedroom detached house for sale,Detached,6,0,False,"The Keys, Chelmsford, CM1",Sold STC,51.75725,0.38592,700000,2021-03-08T11:39:48Z,/properties/89657494,CM1 4LE,,
