id,description,property_type,bedrooms,bathrooms,commercial,display_address,display_status,latitude,longitude,price,first_visible_date,url,deliveryPointId,epcGraphs
91949060,4 bedroom detached house for sale,Detached,4,,False,"Lower Stock Road, West Hanningfield",Sold STC,51.66981,0.47418,1750000,2020-05-05T14:46:47Z,/properties/91949060,31445017,
99093437,5 bedroom detached house for sale,Detached,5,,False,"Pennys Lane, Margaretting",Sold STC,51.69073,0.4126,1499995,2020-10-28T13:43:44Z,/properties/99093437,33296167,
72379485,5 bedroom detached house for sale,Detached,5,0,False,"Little Baddow, Chelmsford",Sold STC,51.72879,0.55473,1450000,2020-08-06T12:17:41Z,/properties/72379485,32911426,
77720016,6 bedroom detached house for sale,Detached,6,5,False,"Shardelow Avenue, Springfield, Chelmsford, Essex, CM1",Sold STC,51.757979,0.504572,1350000,2021-02-08T16:03:33Z,/properties/77720016,37254196,"[{'url': 'https://media.rightmove.co.uk/59k/58204/77720016/58204_CHE200365_EPCGRAPH_00_0000.png', 'caption': 'EPC Rating Graph'}]"
101912762,6 bedroom detached house for sale,Detached,6,2,False,"Newney Green, Chelmsford, Essex, CM1",Sold STC,51.735354,0.392052,1350000,2021-01-12T17:53:25Z,/properties/101912762,36967978,
101943176,4 bedroom detached house for sale,Detached,4,1,False,"Wheelers Hill, Little Waltham, Chelmsford, Essex, CM3",Sold STC,51.784791,0.485274,1275000,2021-01-13T14:38:24Z,/properties/101943176,22874506,
93474227,4 bedroom detached house for sale,Detached,4,,False,"The Common, Galleywood Common",Sold STC,51.69599,0.46533,1250000,2020-06-13T14:50:13Z,/properties/93474227,36497911,"[{'url': 'https://media.rightmove.co.uk/15k/14258/93474227/14258_TheRidings_EPC_00_0000.pdf', 'caption': 'EPC 1'}]"
67744308,5 bedroom detached house for sale,Detached,5,4,False,"Riceen, Woodhall Hill, Chignal Smealey, Chelmsford",Sold STC,51.77218,0.43411,1250000,2020-01-20T09:05:02Z,/properties/67744308,,"[{'url': 'https://www2.housescape.org.uk/cgi-bin/epc.pl?adr1&28508&nofooter', 'caption': 'EPC'}]"
78739065,3 bedroom semi-detached house for sale,Semi-Detached,3,2,False,"Wilfred Waterman Drive, Chelmsford",Sold STC,51.76244,0.50373,489995,2021-03-12T10:31:51Z,/properties/78739065,,"[{'url': 'https://media.rightmove.co.uk/12k/11691/78739065/11691_0019_HRT001913050_EPCGRAPH_00_0000.png', 'caption': 'EPC 1'}]"
90492416,4 bedroom detached house for sale,Detached,4,3,False,"Pennys Lane, Margaretting, Ingatestone, Essex, CM4",Sold STC,51.690792,0.410624,1239500,2020-03-15T18:31:53Z,/properties/90492416,33296128,"[{'url': 'https://media.rightmove.co.uk/37k/36167/90492416/36167_CHS200035_EPCGRAPH_01_0000.png', 'caption': 'EPC Rating Graph'}]"
